Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit
2023,Alabama,12538,-13,,0.027681661,,0,,8,,0
2024,Alabama,12538,-13,-13,0.027210884,0.027681661,0,0,8,8,0
2025,Alabama,12538,-13,-13,0.028673835,0.027210884,0,0,8,8,0
2023,Alabama,17540,-13,,0.020761246,,0,,6,,0
2024,Alabama,17540,-13,-13,0.020408163,0.020761246,0,0,6,6,0
2025,Alabama,17540,-13,-13,0.021505376,0.020408163,0,0,6,6,0
2023,Alabama,18239,-13,,0.027681661,,0,,8,,0
2024,Alabama,18239,-13,-13,0.027210884,0.027681661,0,0,8,8,0
2025,Alabama,18239,-13,-13,0.028673835,0.027210884,0,0,8,8,0
2023,Alabama,18756,-13,,0.003460208,,0,,1,,1
2023,Alabama,28725,-13,,0.034602076,,0,,10,,0
2024,Alabama,28725,-13,-13,0.034013605,0.034602076,0,0,10,10,0
2025,Alabama,28725,-13,-13,0.035842294,0.034013605,0,0,10,10,0
2023,Alabama,44580,-13,,0.020761246,,0,,6,,0
2024,Alabama,44580,-13,-13,0.020408163,0.020761246,0,0,6,6,0
2025,Alabama,44580,-13,-13,0.021505376,0.020408163,0,0,6,6,0
2023,Alabama,46363,-13,,0.01384083,,0,,4,,0
2024,Alabama,46363,-13,-13,0.013605442,0.01384083,0,0,4,4,0
2025,Alabama,46363,-13,-13,0.014336918,0.013605442,0,0,4,4,0
2023,Alabama,46944,-13,,0.256055363,,0,,74,,0
2024,Alabama,46944,-13,-13,0.258503401,0.256055363,0,0,76,74,0
2025,Alabama,46944,-13,-13,0.272401434,0.258503401,0,0,76,76,0
2023,Alabama,53932,-13,,0.321799308,,0,,93,,0
2024,Alabama,53932,-13,-13,0.326530612,0.321799308,0,0,96,93,0
2025,Alabama,53932,-13,-13,0.297491039,0.326530612,0,0,83,96,0
2023,Alabama,60075,-13,,0.01384083,,0,,4,,0
2024,Alabama,60075,-13,-13,0.013605442,0.01384083,0,0,4,4,0
2025,Alabama,60075,-13,-13,0.021505376,0.013605442,0,0,6,4,0
2023,Alabama,69461,-13,,0.24567474,,0,,71,,0
2024,Alabama,69461,-13,-13,0.241496599,0.24567474,0,0,71,71,0
2025,Alabama,69461,-13,-13,0.240143369,0.241496599,0,0,67,71,0
2023,Alabama,82285,-13,,0.01384083,,0,,4,,0
2024,Alabama,82285,-13,-13,0.017006803,0.01384083,0,0,5,4,0
2025,Alabama,82285,-13,-13,0.017921147,0.017006803,0,0,5,5,0
2026,Alabama,,-13,,,,0,,0,,0
2023,Alaska,21989,-13,,0.278846154,,2.278361637,,29,,0
2024,Alaska,21989,-13,-13,0.278846154,0.278846154,2.278361637,2.278361637,29,29,0
2025,Alaska,21989,-13,-13,0.287128713,0.278846154,2.278361637,2.278361637,29,29,0
2023,Alaska,38344,-13,,0.317307692,,2.278361637,,33,,0
2024,Alaska,38344,-13,-13,0.317307692,0.317307692,2.278361637,2.278361637,33,33,0
2025,Alaska,38344,-13,-13,0.297029703,0.317307692,2.278361637,2.278361637,30,33,0
2024,Alaska,73836,-13,,0.326923077,,2.278361637,,34,,0
2025,Alaska,73836,-13,-13,0.336633663,0.326923077,2.278361637,2.278361637,34,34,0
2023,Alaska,74819,-13,,0.076923077,,2.278361637,,8,,0
2024,Alaska,74819,-13,-13,0.076923077,0.076923077,2.278361637,2.278361637,8,8,0
2025,Alaska,74819,-13,-13,0.079207921,0.076923077,2.278361637,2.278361637,8,8,0
2023,Alaska,77963,-13,,0.326923077,,2.278361637,,34,,1
2026,Alaska,,-13,,,,2.278361637,,0,,0
2023,Arizona,12303,-13,,0.00433213,,1.203671178,,6,,0
2024,Arizona,12303,-13,-13,0.005025126,0.00433213,1.203671178,1.203671178,6,6,0
2025,Arizona,12303,-13,-13,0.005474453,0.005025126,1.203671178,1.203671178,6,6,0
2023,Arizona,13877,-13,,0.076534296,,1.203671178,,106,,0
2024,Arizona,13877,-13,-13,0.054438861,0.076534296,1.203671178,1.203671178,65,106,0
2025,Arizona,13877,-13,-13,0.052007299,0.054438861,1.203671178,1.203671178,57,65,0
2023,Arizona,17100,-13,,0.000722022,,1.203671178,,1,,0
2024,Arizona,17100,-13,-13,0.000837521,0.000722022,1.203671178,1.203671178,1,1,0
2025,Arizona,17100,-13,-13,0.000912409,0.000837521,1.203671178,1.203671178,1,1,0
2023,Arizona,17454,-13,,0.007220217,,1.203671178,,10,,0
2024,Arizona,17454,-13,-13,0.008375209,0.007220217,1.203671178,1.203671178,10,10,0
2025,Arizona,17454,-13,-13,0.00729927,0.008375209,1.203671178,1.203671178,8,10,0
2023,Arizona,23435,-13,,0.03465704,,1.203671178,,48,,0
2024,Arizona,23435,-13,-13,0.049413735,0.03465704,1.203671178,1.203671178,59,48,0
2025,Arizona,23435,-13,-13,0.071167883,0.049413735,1.203671178,1.203671178,78,59,0
2023,Arizona,24106,-13,,0.002888087,,1.203671178,,4,,0
2024,Arizona,24106,-13,-13,0.003350084,0.002888087,1.203671178,1.203671178,4,4,0
2025,Arizona,24106,-13,-13,0.005474453,0.003350084,1.203671178,1.203671178,6,4,0
2023,Arizona,30045,-13,,0.002888087,,1.203671178,,4,,0
2024,Arizona,30045,-13,-13,0.003350084,0.002888087,1.203671178,1.203671178,4,4,0
2025,Arizona,30045,-13,-13,0.003649635,0.003350084,1.203671178,1.203671178,4,4,0
2023,Arizona,32311,-13,,0.033212996,,1.203671178,,46,,0
2024,Arizona,32311,-13,-13,0.035175879,0.033212996,1.203671178,1.203671178,42,46,1
2023,Arizona,34095,-13,,0.001444043,,1.203671178,,2,,0
2024,Arizona,34095,-13,-13,0.001675042,0.001444043,1.203671178,1.203671178,2,2,0
2025,Arizona,34095,-13,-13,0.001824818,0.001675042,1.203671178,1.203671178,2,2,0
2023,Arizona,40702,-13,,0.075090253,,1.203671178,,104,,0
2024,Arizona,40702,-13,-13,0.06281407,0.075090253,1.203671178,1.203671178,75,104,0
2025,Arizona,40702,-13,-13,0.064781022,0.06281407,1.203671178,1.203671178,71,75,0
2023,Arizona,53613,-13,,0.003610108,,1.203671178,,5,,0
2024,Arizona,53613,-13,-13,0.004187605,0.003610108,1.203671178,1.203671178,5,5,0
2025,Arizona,53613,-13,-13,0.004562044,0.004187605,1.203671178,1.203671178,5,5,0
2023,Arizona,53901,-13,,0.503971119,,1.203671178,,698,,0
2024,Arizona,53901,-13,-13,0.549413735,0.503971119,1.203671178,1.203671178,656,698,0
2025,Arizona,53901,-13,-13,0.561131387,0.549413735,1.203671178,1.203671178,615,656,0
2023,Arizona,58669,-13,,0.007220217,,1.203671178,,10,,0
2024,Arizona,58669,-13,-13,0.008375209,0.007220217,1.203671178,1.203671178,10,10,1
2023,Arizona,66105,-13,,0.002888087,,1.203671178,,4,,0
2024,Arizona,66105,-13,-13,0.003350084,0.002888087,1.203671178,1.203671178,4,4,0
2025,Arizona,66105,-13,-13,0.003649635,0.003350084,1.203671178,1.203671178,4,4,0
2025,Arizona,68445,-13,,0.070255474,,1.203671178,,77,,0
2023,Arizona,77352,-13,,0.005776173,,1.203671178,,8,,0
2024,Arizona,77352,-13,-13,0.006700168,0.005776173,1.203671178,1.203671178,8,8,0
2025,Arizona,77352,-13,-13,0.00729927,0.006700168,1.203671178,1.203671178,8,8,0
2024,Arizona,82011,-13,,0.001675042,,1.203671178,,2,,0
2025,Arizona,82011,-13,-13,0.001824818,0.001675042,1.203671178,1.203671178,2,2,0
2023,Arizona,85533,-13,,0.018772563,,1.203671178,,26,,0
2024,Arizona,85533,-13,-13,0.021775544,0.018772563,1.203671178,1.203671178,26,26,0
2025,Arizona,85533,-13,-13,0.023722628,0.021775544,1.203671178,1.203671178,26,26,0
2023,Arizona,86830,-13,,0.002166065,,1.203671178,,3,,0
2024,Arizona,86830,-13,-13,0.002512563,0.002166065,1.203671178,1.203671178,3,3,0
2025,Arizona,86830,-13,-13,0.001824818,0.002512563,1.203671178,1.203671178,2,3,0
2023,Arizona,91450,-13,,0.149458484,,1.203671178,,207,,0
2024,Arizona,91450,-13,-13,0.12479062,0.149458484,1.203671178,1.203671178,149,207,0
2025,Arizona,91450,-13,-13,0.075729927,0.12479062,1.203671178,1.203671178,83,149,0
2023,Arizona,97667,-13,,0.067148014,,1.203671178,,93,,0
2024,Arizona,97667,-13,-13,0.052763819,0.067148014,1.203671178,1.203671178,63,93,0
2025,Arizona,97667,-13,-13,0.037408759,0.052763819,1.203671178,1.203671178,41,63,0
2026,Arizona,,-13,,,,1.203671178,,0,,0
2023,Arkansas,13262,-21,,0.072368421,,1.404023068,,22,,0
2024,Arkansas,13262,-21,-21,0.085526316,0.072368421,1.404023068,1.404023068,26,22,0
2025,Arkansas,13262,-21,-21,0.113793103,0.085526316,1.404023068,1.404023068,33,26,0
2023,Arkansas,26904,-21,,0.026315789,,1.404023068,,8,,1
2025,Arkansas,26904,-21,-21,0.027586207,0.026315789,1.404023068,1.404023068,8,8,0
2023,Arkansas,28348,-21,,0.016447368,,1.404023068,,5,,0
2024,Arkansas,28348,-21,-21,0.016447368,0.016447368,1.404023068,1.404023068,5,5,0
2025,Arkansas,28348,-21,-21,0.017241379,0.016447368,1.404023068,1.404023068,5,5,0
2023,Arkansas,37903,-21,,0.095394737,,1.404023068,,29,,0
2024,Arkansas,37903,-21,-21,0.095394737,0.095394737,1.404023068,1.404023068,29,29,0
2025,Arkansas,37903,-21,-21,0.1,0.095394737,1.404023068,1.404023068,29,29,0
2024,Arkansas,38545,-21,,0.013157895,,1.404023068,,4,,0
2025,Arkansas,38545,-21,-21,0.020689655,0.013157895,1.404023068,1.404023068,6,4,0
2024,Arkansas,48772,-21,,0.085526316,,1.404023068,,26,,0
2025,Arkansas,48772,-21,-21,0.113793103,0.085526316,1.404023068,1.404023068,33,26,0
2023,Arkansas,62141,-21,,0.411184211,,1.404023068,,125,,0
2024,Arkansas,62141,-21,-21,0.388157895,0.411184211,1.404023068,1.404023068,118,125,0
2025,Arkansas,62141,-21,-21,0.310344828,0.388157895,1.404023068,1.404023068,90,118,0
2023,Arkansas,70525,-21,,0.121710526,,1.404023068,,37,,0
2024,Arkansas,70525,-21,-21,0.121710526,0.121710526,1.404023068,1.404023068,37,37,0
2025,Arkansas,70525,-21,-21,0.127586207,0.121710526,1.404023068,1.404023068,37,37,0
2023,Arkansas,75293,-21,,0.256578947,,1.404023068,,78,,0
2024,Arkansas,75293,-21,-21,0.194078947,0.256578947,1.404023068,1.404023068,59,78,0
2025,Arkansas,75293,-21,-21,0.168965517,0.194078947,1.404023068,1.404023068,49,59,0
2026,Arkansas,,-21,,,,1.404023068,,0,,0
2023,California,,-48,,,,2.538435386,,0,,1
2024,California,,-48,,,,2.538435386,,0,,1
2025,California,,-48,,,,2.538435386,,0,,0
2026,California,,-48,,,,2.538435386,,0,,0
2023,Colorado,,-22,,,,1.351963495,,0,,1
2024,Colorado,,-22,,,,1.351963495,,0,,1
2025,Colorado,,-22,,,,1.351963495,,0,,0
2026,Colorado,,-22,,,,1.351963495,,0,,0
2023,Connecticut,,-113,,,,2.083929316,,0,,1
2024,Connecticut,,-113,,,,2.083929316,,0,,1
2025,Connecticut,,-113,,,,2.083929316,,0,,0
2026,Connecticut,,-113,,,,2.083929316,,0,,0
2023,Delaware,26018,-6,,0.018181818,,1.291813871,,3,,0
2024,Delaware,26018,-6,-6,0.010416667,0.018181818,1.291813871,1.291813871,3,3,0
2025,Delaware,26018,-6,-6,0.012658228,0.010416667,1.291813871,1.291813871,3,3,0
2024,Delaware,64004,-6,,0.416666667,,1.291813871,,120,,0
2025,Delaware,64004,-6,-6,0.35021097,0.416666667,1.291813871,1.291813871,83,120,0
2023,Delaware,67190,-6,,0.290909091,,1.291813871,,48,,0
2024,Delaware,67190,-6,-6,0.125,0.290909091,1.291813871,1.291813871,36,48,0
2025,Delaware,67190,-6,-6,0.046413502,0.125,1.291813871,1.291813871,11,36,0
2023,Delaware,67775,-6,,0.121212121,,1.291813871,,20,,0
2024,Delaware,67775,-6,-6,0.069444444,0.121212121,1.291813871,1.291813871,20,20,0
2025,Delaware,67775,-6,-6,0.084388186,0.069444444,1.291813871,1.291813871,20,20,0
2023,Delaware,72760,-6,,0.115151515,,1.291813871,,19,,0
2024,Delaware,72760,-6,-6,0.104166667,0.115151515,1.291813871,1.291813871,30,19,0
2025,Delaware,72760,-6,-6,0.172995781,0.104166667,1.291813871,1.291813871,41,30,0
2023,Delaware,76168,-6,,0.454545455,,1.291813871,,75,,0
2024,Delaware,76168,-6,-6,0.274305556,0.454545455,1.291813871,1.291813871,79,75,0
2025,Delaware,76168,-6,-6,0.333333333,0.274305556,1.291813871,1.291813871,79,79,0
2026,Delaware,,-6,,,,1.291813871,,0,,0
2023,District of Columbia,,-45,,,,7.970596115,,0,,1
2024,District of Columbia,,-45,,,,7.970596115,,0,,1
2025,District of Columbia,,-45,,,,7.970596115,,0,,0
2026,District of Columbia,,-45,,,,7.970596115,,0,,0
2023,Florida,15833,-9,,0.003756574,,0,,10,,0
2024,Florida,15833,-9,-9,0.004918839,0.003756574,0,0,10,10,0
2025,Florida,15833,-9,-9,0.005186722,0.004918839,0,0,10,10,0
2023,Florida,15980,-9,,0.002253944,,0,,6,,0
2024,Florida,15980,-9,-9,0.002951303,0.002253944,0,0,6,6,0
2025,Florida,15980,-9,-9,0.003112033,0.002951303,0,0,6,6,0
2023,Florida,16842,-9,,0.060105184,,0,,160,,0
2024,Florida,16842,-9,-9,0.063944909,0.060105184,0,0,130,160,0
2025,Florida,16842,-9,-9,0.080912863,0.063944909,0,0,156,130,0
2023,Florida,17121,-9,,0.003005259,,0,,8,,0
2024,Florida,17121,-9,-9,0.003935071,0.003005259,0,0,8,8,0
2025,Florida,17121,-9,-9,0.004149378,0.003935071,0,0,8,8,0
2023,Florida,18628,-9,,0.07513148,,0,,200,,0
2024,Florida,18628,-9,-9,0.023610428,0.07513148,0,0,48,200,0
2025,Florida,18628,-9,-9,0.034751037,0.023610428,0,0,67,48,0
2023,Florida,19898,-9,,0.17918858,,0,,477,,0
2024,Florida,19898,-9,-9,0.229709788,0.17918858,0,0,467,477,0
2025,Florida,19898,-9,-9,0.171680498,0.229709788,0,0,331,467,0
2023,Florida,21663,-9,,0.09541698,,0,,254,,0
2024,Florida,21663,-9,-9,0.11805214,0.09541698,0,0,240,254,1
2023,Florida,30115,-9,,0.003005259,,0,,8,,0
2024,Florida,30115,-9,-9,0.003935071,0.003005259,0,0,8,8,0
2025,Florida,30115,-9,-9,0.004149378,0.003935071,0,0,8,8,0
2023,Florida,30219,-9,,0.000375657,,0,,1,,0
2024,Florida,30219,-9,-9,0.000491884,0.000375657,0,0,1,1,1
2023,Florida,30252,-9,,0.140871525,,0,,375,,0
2024,Florida,30252,-9,-9,0.149040826,0.140871525,0,0,303,375,0
2025,Florida,30252,-9,-9,0.205912863,0.149040826,0,0,397,303,0
2023,Florida,36194,-9,,0.045078888,,0,,120,,0
2024,Florida,36194,-9,-9,0.04525332,0.045078888,0,0,92,120,0
2025,Florida,36194,-9,-9,0.055497925,0.04525332,0,0,107,92,0
2023,Florida,40572,-9,,0.101427498,,0,,270,,0
2024,Florida,40572,-9,-9,0.065912445,0.101427498,0,0,134,270,0
2025,Florida,40572,-9,-9,0.059128631,0.065912445,0,0,114,134,0
2023,Florida,43274,-9,,0.002253944,,0,,6,,0
2024,Florida,43274,-9,-9,0.002951303,0.002253944,0,0,6,6,0
2025,Florida,43274,-9,-9,0.003112033,0.002951303,0,0,6,6,0
2025,Florida,44228,-9,,0.032157676,,0,,62,,0
2023,Florida,48121,-9,,0.047332832,,0,,126,,0
2024,Florida,48121,-9,-9,0.034431874,0.047332832,0,0,70,126,0
2025,Florida,48121,-9,-9,0.026452282,0.034431874,0,0,51,70,0
2023,Florida,48129,-9,,0.003756574,,0,,10,,0
2024,Florida,48129,-9,-9,0.004918839,0.003756574,0,0,10,10,0
2025,Florida,48129,-9,-9,0.005186722,0.004918839,0,0,10,10,0
2025,Florida,49004,-9,,0.100622407,,0,,194,,0
2023,Florida,54172,-9,,0.018031555,,0,,48,,0
2024,Florida,54172,-9,-9,0.027053615,0.018031555,0,0,55,48,0
2025,Florida,54172,-9,-9,0.028526971,0.027053615,0,0,55,55,0
2023,Florida,56503,-9,,0.077385424,,0,,206,,0
2024,Florida,56503,-9,-9,0.08165273,0.077385424,0,0,166,206,0
2025,Florida,56503,-9,-9,0.06846473,0.08165273,0,0,132,166,0
2023,Florida,59667,-9,,0.002253944,,0,,6,,0
2024,Florida,59667,-9,-9,0.002951303,0.002253944,0,0,6,6,0
2025,Florida,59667,-9,-9,0.003112033,0.002951303,0,0,6,6,0
2023,Florida,66966,-9,,0.011269722,,0,,30,,0
2024,Florida,66966,-9,-9,0.014756517,0.011269722,0,0,30,30,0
2025,Florida,66966,-9,-9,0.015560166,0.014756517,0,0,30,30,0
2023,Florida,67926,-9,,0.007137491,,0,,19,,0
2024,Florida,67926,-9,-9,0.014756517,0.007137491,0,0,30,19,0
2025,Florida,67926,-9,-9,0.02126556,0.014756517,0,0,41,30,0
2023,Florida,68398,-9,,0.040195342,,0,,107,,0
2024,Florida,68398,-9,-9,0.040334481,0.040195342,0,0,82,107,0
2025,Florida,68398,-9,-9,0.038381743,0.040334481,0,0,74,82,0
2024,Florida,74243,-9,,0.005902607,,0,,12,,0
2025,Florida,74243,-9,-9,0.006224066,0.005902607,0,0,12,12,0
2023,Florida,86382,-9,,0.044327573,,0,,118,,0
2024,Florida,86382,-9,-9,0.051155927,0.044327573,0,0,104,118,0
2025,Florida,86382,-9,-9,0.019190871,0.051155927,0,0,37,104,0
2023,Florida,92120,-9,,0.030052592,,0,,80,,1
2023,Florida,97725,-9,,0.003380917,,0,,9,,0
2024,Florida,97725,-9,-9,0.004426955,0.003380917,0,0,9,9,0
2025,Florida,97725,-9,-9,0.00466805,0.004426955,0,0,9,9,0
2023,Florida,98534,-9,,0.000375657,,0,,1,,0
2024,Florida,98534,-9,-9,0.000491884,0.000375657,0,0,1,1,1
2023,Florida,98869,-9,,0.001878287,,0,,5,,0
2024,Florida,98869,-9,-9,0.00245942,0.001878287,0,0,5,5,0
2025,Florida,98869,-9,-9,0.002593361,0.00245942,0,0,5,5,0
2023,Florida,99787,-9,,0.000751315,,0,,2,,1
2026,Florida,,-9,,,,0,,0,,0
2023,Georgia,15105,-11,,0.057498518,,0,,97,,0
2024,Georgia,15105,-11,-11,0.051302932,0.057498518,0,0,63,97,1
2023,Georgia,22500,-11,,0.002371073,,0,,4,,0
2024,Georgia,22500,-11,-11,0.003257329,0.002371073,0,0,4,4,1
2023,Georgia,37001,-11,,0.001185536,,0,,2,,0
2024,Georgia,37001,-11,-11,0.001628664,0.001185536,0,0,2,2,1
2023,Georgia,37301,-11,,0.002963841,,0,,5,,0
2024,Georgia,37301,-11,-11,0.004071661,0.002963841,0,0,5,5,1
2023,Georgia,43802,-11,,0.057498518,,0,,97,,0
2024,Georgia,43802,-11,-11,0.066775244,0.057498518,0,0,82,97,1
2024,Georgia,45334,-11,,0.029315961,,0,,36,,1
2023,Georgia,49046,-11,,0.195613515,,0,,330,,0
2024,Georgia,49046,-11,-11,0.230456026,0.195613515,0,0,283,330,1
2023,Georgia,55612,-11,,0.000592768,,0,,1,,1
2023,Georgia,58081,-11,,0.078245406,,0,,132,,0
2024,Georgia,58081,-11,-11,0.052931596,0.078245406,0,0,65,132,1
2023,Georgia,60224,-11,,0.054534677,,0,,92,,0
2024,Georgia,60224,-11,-11,0.063517915,0.054534677,0,0,78,92,1
2023,Georgia,63940,-11,,0.001185536,,0,,2,,1
2023,Georgia,64357,-11,,0.007113219,,0,,12,,0
2024,Georgia,64357,-11,-11,0.009771987,0.007113219,0,0,12,12,1
2023,Georgia,68806,-11,,0.003556609,,0,,6,,0
2024,Georgia,68806,-11,-11,0.004885993,0.003556609,0,0,6,6,1
2023,Georgia,70893,-11,,0.183165382,,0,,309,,0
2024,Georgia,70893,-11,-11,0.131107492,0.183165382,0,0,161,309,1
2023,Georgia,82824,-11,,0.071132187,,0,,120,,0
2024,Georgia,82824,-11,-11,0.042345277,0.071132187,0,0,52,120,1
2023,Georgia,83502,-11,,0.004742146,,0,,8,,0
2024,Georgia,83502,-11,-11,0.006514658,0.004742146,0,0,8,8,1
2023,Georgia,83761,-11,,0.111440427,,0,,188,,0
2024,Georgia,83761,-11,-11,0.179153094,0.111440427,0,0,220,188,1
2023,Georgia,86637,-11,,0.004149378,,0,,7,,0
2024,Georgia,86637,-11,-11,0.002442997,0.004149378,0,0,3,7,1
2023,Georgia,89942,-11,,0.099585062,,0,,168,,0
2024,Georgia,89942,-11,-11,0.120521173,0.099585062,0,0,148,168,1
2023,Georgia,90617,-11,,0.0634262,,0,,107,,1
2025,Georgia,,-11,,,,0,,0,,0
2026,Georgia,,-11,,,,0,,0,,0
2023,Hawaii,10046,-8,,0.071428571,,5.311102983,,8,,0
2024,Hawaii,10046,-8,-8,0.082474227,0.071428571,5.311102983,5.311102983,8,8,0
