State,Notes,Total Medicaid Enrollees,Comprehensive MCO with or without MLTSS,PCCM,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year,PCCM Entity
Kentucky,,"1,361,722","1,262,610",--,--,--,--,"1,225,842",--,--,2016,--
South Dakota,,"125,395",--,"94,295",--,--,--,--,--,--,2016,--
Montana,,"207,340",--,"121,277",--,--,--,--,--,--,2016,--
Alabama4,"Beneficiaries can simultaneously enroll in Alabama's Patient 1st and Health Homes plans. The de-duplicated Patient 1st plan enrollment is 416,332.","1,037,037",--,"416,332",--,--,--,--,175,"17,661",2016,--
California,,"13,739,388","10,565,689",--,--,25,"949,591",--,"6,053",771,2016,--
Missouri,,"982,776","494,392",--,--,--,--,"467,290",--,--,2016,--
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016,n/a
Louisiana,,"1,504,333","1,263,151",--,--,"114,278","1,316,034",--,411,--,2016,--
New Jersey,,"1,679,572","1,556,150",--,--,--,--,"1,556,150",931,--,2016,--
TOTALS,,"80,263,839","54,549,119","2,961,240","304,748","11,255,129","6,686,542","13,647,373","39,653","32,295",2016,"2,438,400"
Arkansas6,"Arkansas is unable to report enrollment as of July 1, 2016. Enrollment figures represent cumulative enrollment for the state fiscal year (July 1,2015-June 30, 2016).","1,026,621",--,"508,813",--,--,--,"512,041",167,--,2016,--
District of Columbia,,"251,791","180,942",--,--,--,--,"53,970",--,--,2016,--
Wyoming,,"64,442",--,--,--,--,--,--,112,279,2016,--
Pennsylvania,,"2,753,618","2,227,383",--,--,"2,514,920",--,"611,477","5,732",--,2016,--
Massachusetts,,"1,889,306","870,318","391,166",--,"462,347",--,--,"4,049",--,2016,--
North Dakota,,"93,422","21,232","48,264",--,--,--,--,115,223,2016,--
Michigan9,"Michigan has two programs that provide HCBS waiver services under capitation: MI Choice and the Specialty Prepaid Inpatient Health Plan (SPIHP). In this table, MI Choice is reported as an MLTSS program and SPIHP is reported as a BHO. In Table 6, both programs are considered in the count of LTSS users.","4,448,582","2,218,308",--,"11,377","2,192,335","823,290",--,"1,721",--,2016,--
Virginia,,"1,111,999","759,579",--,--,--,--,--,"1,440",--,2016,--
Hawaii8,"Hawaii's enrollment in comprehensive MCOs includes 5,506 beneficiaries who are also enrolled in Ohana Community Care Service for behavioral health services.","358,302","354,289",--,--,--,--,--,--,--,2016,--
Delaware,,"221,229","195,911",--,--,--,--,--,191,--,2016,--
Washington12,"Washington's enrollment in comprehensive MCOs includes 21,412 beneficiaries in Health Homes that provide services under contract with a comprehensive MCO.","1,820,084","1,556,853","9,082",--,"1,820,084",--,"1,820,084",568,--,2016,--
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016,n/a
Oregon10,"Oregon’s enrollment in comprehensive MCOs includes beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5.","1,109,321","893,387",--,--,--,--,--,"1,156",--,2016,--
Alaska5,"Alaska was not able to provide total Medicaid enrollment as of July 1, 2016.  This figure is from the April - June 2016 enrollment data collected through the Medicaid Budget and Expenditure System, updated September 2017, and accessed February 15, 2017. See https://www.medicaid.gov/medicaid/program-information/downloads/cms-64-enrollment-report-apr-jun-2016.pdf.","155,865",--,--,--,--,--,--,--,--,2016,--
New Hampshire,,"206,997","136,985",--,--,--,--,--,--,--,2016,--
New Mexico,,"884,368","683,701",--,--,--,--,--,787,--,2016,--
South Carolina,,"1,235,361","742,134",302,--,--,--,"1,235,361",394,--,2016,--
Indiana,,"1,421,696","1,078,625",--,--,--,--,--,--,--,2016,--
Maine,,"277,697",--,"152,642",--,--,--,"239,953",--,--,2016,--
Rhode Island,,"293,676","251,437",0,--,--,"94,318","277,378",277,--,2016,--
Mississippi,,"726,473","499,365",--,--,--,--,--,--,--,2016,--
Georgia,,"1,857,292","1,218,210",--,--,--,--,--,--,"10,490",2016,--
West Virginia,,"553,318","390,083",--,--,--,--,--,--,--,2016,--
Utah,,"294,707","244,763",--,--,"288,529","139,243","247,595",--,--,2016,--
Colorado,,"1,344,548","131,693",--,--,"1,287,238",--,--,"3,099",--,2016,"942,295"
Ohio,,"3,022,121","2,454,836",--,--,--,--,--,388,--,2016,--
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016,n/a
New York,,"6,139,403","4,506,561",--,"157,229",--,--,--,"5,554",--,2016,--
Texas,,"4,051,664","3,581,401","11,969",--,"499,259","2,935,496","3,922,822","1,203",--,2016,--
Iowa,,"624,973","562,087",--,--,--,"150,413","13,395",295,--,2016,--
Vermont,,"200,481","124,399",--,--,--,--,--,--,--,2016,--
Illinois,,"3,230,870","1,967,553","366,520",214,--,--,--,--,--,2016,--
Nevada,,"629,265","401,434","38,252",--,--,--,"557,397",--,--,2016,--
Florida,,"3,900,380","3,186,511",--,"92,350",--,--,--,"1,326",--,2016,--
Puerto Rico,,"1,617,501","1,617,501",--,--,--,--,--,--,--,2016,--
Oklahoma,,"792,387",--,"532,213",--,--,--,"643,789",310,--,2016,--
Minnesota,,"1,088,610","814,947",--,--,--,--,--,--,--,2016,--
Wisconsin,,"1,204,511","753,583",--,"43,578","1,288",--,--,619,"2,871",2016,--
Maryland,,"1,324,796","1,079,985",--,--,--,--,--,100,--,2016,--
Connecticut7,"Connecticut was not able to provide total Medicaid enrollment as of July 1, 2016.  This figure is from the April - June 2016 enrollment data collected through the Medicaid Budget and Expenditure System accessed February 15, 2017, at https://www.medicaid.gov/medicaid/program-information/downloads/cms-64-enrollment-report-apr-jun-2016.pdf.","860,758",--,--,--,--,--,--,--,--,2016,--
North Carolina,,"2,028,935",--,--,--,"1,581,301",--,--,"1,636",--,2016,"1,496,105"
Nebraska,,"244,355","191,346",--,--,"232,507",--,--,133,--,2016,--
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016,n/a
Kansas,,"435,850","390,398",--,--,--,--,--,431,--,2016,--
Arizona,,"1,849,166","1,560,972",--,--,--,--,--,--,--,2016,--
Tennessee11,"Tennessee’s enrollment in comprehensive MCOs includes 1,403,823 beneficiaries who are also enrolled in Magellan Health Services for pharmacy benefits and 889,454 beneficiaries who are also enrolled in DentaQuest USA Insurance Company for dental services. For purposes of this report, partial duals are included in the count of Total Medicaid Enrollees; however, Tennessee does not generally include partial duals in counts of Medicaid enrollees in other data sources.","1,684,268","1,556,089",--,--,--,--,--,280,--,2016,--
Idaho,,"295,267","2,326","270,113",--,"261,018","278,157","262,829",--,--,2016,--
Rhode Island,,"337,809","270,257",--,--,--,"104,666","278,402",293,--,2017,--
Washington13,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","1,824,730","1,611,793","6,729",--,"1,824,730",--,"1,824,730",609,--,2017,--
North Carolina,,"2,110,914",--,--,--,"1,600,547",--,--,"1,943",--,2017,"1,510,955"
TOTALS,,"80,242,585","55,519,658","2,914,483","367,600","10,730,250","6,974,762","14,373,358","43,092","28,343",2017,"2,548,286"
Louisiana,,"1,626,037","1,377,682",--,--,"117,429","1,489,131",--,443,--,2017,--
Utah,,"284,316","235,408",--,--,"279,889","133,087","239,578",--,--,2017,--
Mississippi,,"708,992","487,201",--,--,--,--,--,--,--,2017,--
Arizona,,"1,917,183","1,617,558",--,--,--,--,--,--,--,2017,--
New Hampshire,,"204,458","133,811",--,--,--,--,--,--,--,2017,--
Indiana,,"1,475,463","1,138,236",--,--,--,--,--,132,--,2017,--
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017,n/a
Missouri,,"983,835","733,120",--,--,--,--,"242,177",--,--,2017,--
South Carolina,,"1,217,302","772,074",456,--,--,--,"1,217,302",439,--,2017,--
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017,n/a
New York,,"6,105,120","4,520,640",--,"184,298",--,--,--,"5,671",--,2017,--
Georgia8,"Georgia is unable to provide separate counts of managed care and fee-for-service beneficiaries for their NEMT program (which uses both payment models). As a result, enrollment counts presented in this table include enrollees in both managed care and FFS.","1,813,016","1,247,705",--,--,--,--,"1,556,221",--,"9,104",2017,--
Nevada,,"653,968","448,513","38,543",--,--,--,"578,683",--,--,2017,--
Alabama4,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Patient 1st enrollment is 380,285.","1,019,417",--,"611,251",--,--,--,--,174,"22,844",2017,--
Connecticut7,"Connecticut did not provide total Medicaid enrollment as of July 1, 2017. This figure is from the September - December 2016 enrollment data collected through the Medicaid Budget and Expenditure System, updated December 2017, and accessed August 31, 2018. See https://data.medicaid.gov/Enrollment/2016-4Q-Medicaid-MBES-Enrollment/capi-ym43.","860,758",--,--,--,--,--,--,--,--,2017,--
Oklahoma,,"808,267",--,"538,738",--,--,--,"652,952",410,--,2017,--
Virginia,,"1,083,750","722,399",--,--,--,--,--,"1,497",--,2017,--
Kentucky,,"1,403,257","1,251,070",--,--,--,--,"1,251,301",--,--,2017,--
Ohio,,"3,083,411","2,550,962",--,--,--,--,--,416,--,2017,--
Illinois,,"3,192,569","1,884,379","320,335","28,223",--,--,--,--,--,2017,--
Texas,,"4,038,159","3,691,816","8,573",--,--,"2,933,650","3,214,869","1,230",--,2017,--
Colorado6,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, Medicaid Enrollment in Comprehensive Managed Care may be slightly inflated. ted.","1,381,208","137,240",--,--,"1,322,757",--,--,"3,646",--,2017,"1,037,331"
Alaska5,,"155,865",--,--,--,--,--,--,--,--,2017,--
Hawaii9,"Hawaii's enrollment in comprehensive MCOs includes 4,918 beneficiaries who enrolled in an MCO plus Ohana Community Care Service for behavioral health services.","365,087","360,905",--,--,--,--,--,--,--,2017,--
Montana,,"230,296",--,"175,012",--,--,--,--,--,--,2017,--
Wyoming,,"61,529",--,--,--,--,--,--,129,266,2017,--
Massachusetts,,"1,874,779","847,708","393,076",--,"453,630",--,--,"3,664",--,2017,--
Kansas,,"416,645","398,013",--,--,--,--,--,543,--,2017,--
Oregon11,"Oregon’s enrollment in comprehensive MCOs includes beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5.","1,067,322","858,382",--,--,--,--,--,"1,252",--,2017,--
South Dakota,,"124,676",--,"93,369",--,--,--,--,--,--,2017,--
New Mexico,,"898,965","695,017",--,--,--,--,--,755,--,2017,--
Delaware,,"222,859","207,997",--,--,--,--,--,224,--,2017,--
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017,n/a
Maryland,,"1,326,080","1,161,213",--,--,--,--,--,102,--,2017,--
Wisconsin,,"1,197,770","748,090",--,"46,013","1,245",--,--,574,"3,118",2017,--
California,,"13,515,168","10,798,374",--,--,23,"903,991",--,"6,858",681,2017,--
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017,n/a
District of Columbia,,"265,547","196,704",--,--,--,--,"74,396",--,--,2017,--
Idaho,,"299,253","2,290","276,411",--,"290,463","290,463","292,732",--,--,2017,--
Pennsylvania,,"2,835,800","2,259,379",--,--,"2,552,587",--,"622,053","6,289",149,2017,--
Nebraska,,"247,894","246,472",--,--,--,0,--,161,--,2017,--
Tennessee12,"Tennessee’s enrollment in comprehensive MCOs includes 1,262,221 beneficiaries who enrolled in an MCO plus Magellan Health Services for pharmacy benefits and 821,212 beneficiaries who enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.","1,522,658","1,409,266",--,--,--,--,--,289,--,2017,--
TOTALS,,"79,898,701","55,558,458","2,583,532","403,798","7,717,977","8,292,589","15,204,939","48,395","66,486",2017,"2,910,656"
Iowa,,"623,501","556,389",--,--,--,"153,985","11,814",352,--,2017,--
Alabama4,,"1,037,814",--,"396,912",--,--,--,--,172,"14,848",2017,--
Michigan10,"Michigan has two programs that provide HCBS waiver services under capitation: MI Choice and the Specialty Prepaid Inpatient Health Plan (SPIHP). In this table, MI Choice is reported as an MLTSS program and SPIHP is reported as a BHO. In Table 6, both programs are considered in the count of LTSS users.","4,668,815","2,411,048",--,"11,428","2,286,950","965,789",--,"2,046",--,2017,--
Vermont,,"183,918","96,823",--,--,--,--,--,--,--,2017,--
Maine,,"273,451",--,"147,296",--,--,--,"238,193",--,--,2017,--
North Dakota,,"92,595","20,515","49,399",--,--,--,--,157,177,2017,--
Florida,,"3,916,490","3,181,088",--,"97,638",--,--,--,"1,615",--,2017,--
Arkansas,,"993,792",--,"469,634",--,--,--,"522,252",209,--,2017,--
New Jersey,,"1,678,888","1,559,423",--,--,--,--,"1,555,703",972,--,2017,--
West Virginia,,"521,186","424,662",--,--,--,--,--,--,--,2017,--
Minnesota,,"1,107,499","846,115",--,--,--,--,--,--,--,2017,--
Puerto Rico,,"1,401,921","1,401,921",--,--,--,--,--,--,--,2017,--
TOTALS,,"79,898,701","55,559,211","2,583,532","403,798","7,717,977","8,292,589","15,206,150","48,395","66,252",2018,"2,910,656"
Alabama4,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Patient 1st enrollment is 380,285.","1,019,417",--,"611,251",--,--,--,--,174,"22,844",2018,--
Alaska5,"Alaska was not able to provide total Medicaid enrollment as of July 1, 2018. This figure is from the July - September 2018 enrollment data collected through the Medicaid Budget and Expenditure System, updated December 2019, and accessed January 14, 2020. See https://data.medicaid.gov/Enrollment/2018-4Q-Medicaid-MBES-Enrollment/qjmt-6zzy.","198,417",-- ,--,--,--,--,--,--,--,2018,--
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Arizona,,"1,849,465","1,560,593",--,--,--,--,--,--,--,2018,--
Arkansas,,"979,619",-- ,"445,284",-- ,-- ,"576,970","579,996",258,--,2018,"29,078"
California,,"13,140,347","10,653,598",-- ,-- ,32,"845,796",-- ,"7,784",670,2018,-- 
Colorado6," Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported PACE program-level enrollment may be lower than actual enrollment.","1,302,808","118,408",-- ,-- ,0,-- ,-- ,"3,799",--,2018,"1,048,881"
Connecticut7,"Connecticut was not able to provide total Medicaid enrollment as of July 1, 2018. This figure is from the July - September 2018 enrollment data collected through the Medicaid Budget and Expenditure System, updated December 2019, and accessed January 14, 2020. See https://data.medicaid.gov/Enrollment/2018-4Q-Medicaid-MBES-Enrollment/qjmt-6zzy.","928,800",-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Delaware,,"236,760","199,645",-- ,-- ,-- ,-- ,"208,802",242,--,2018,-- 
District of Columbia,,"264,984","190,116",-- ,-- ,-- ,-- ,"55,805",-- ,--,2018,-- 
Florida,,"3,885,169","3,026,316",-- ,"101,524",-- ,-- ,-- ,"1,679",--,2018,-- 
Georgia8,"Georgia is unable to provide separate counts of managed care and fee-for-service beneficiaires for their NEMT program (which uses both payment models). As a result, enrollment counts presented in this table include enrollees in both managed care and FFS.","2,074,310","1,445,804",-- ,-- ,-- ,-- ,"1,623,252",-- ,"39,446",2018,-- 
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Hawaii9," Hawaii's enrollment in comprehensive MCOs includes 4,470 beneficiaries who enrolled in an MCO plus Ohana Community Care Service for behavioral health services.","355,873","351,685",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Idaho,,"300,252","3,799","254,791",-- ,"269,240","272,979","272,979",-- ,--,2018,-- 
Illinois,,"3,110,093","2,145,760",-- ,"31,143",-- ,-- ,-- ,-- ,--,2018,-- 
Indiana,,"1,457,544","1,126,133",-- ,-- ,-- ,-- ,-- ,292,--,2018,-- 
Iowa,,"626,011","564,492",-- ,-- ,-- ,"302,681","15,581",434,--,2018,-- 
Kansas,,"417,140","357,683",-- ,-- ,-- ,-- ,--,542,--,2018,-- 
Kentucky,,"1,385,239","1,259,525",-- ,-- ,-- ,-- ,"1,232,903",-- ,--,2018,-- 
Louisiana,,"1,640,075","1,384,784",-- ,-- ,"118,107","1,503,192",-- ,458,--,2018,-- 
Maine,,"270,243",-- ,"141,777",-- ,-- ,-- ,"234,327",-- ,--,2018,-- 
Maryland,,"1,401,781","1,169,603",-- ,-- ,-- ,-- ,-- ,105,--,2018,-- 
Massachusetts,,"1,865,755","746,051","119,512",-- ,"528,106",-- ,-- ,"4,522",--,2018,"339,350"
Michigan10,"10. Michigan has two programs that provide HCBS waiver services under capitation: MI Choice and the Specialty Prepaid Inpatient Health Plan (SPIHP). In this table, MI Choice is reported as an MLTSS program and SPIHP is reported as a BHO. In Table 6, both programs are considered in the count of LTSS users. ","4,623,834","2,377,009",-- ,"11,295","2,276,353","969,152",-- ,"2,545",--,2018,-- 
Minnesota,,"1,122,672","892,137",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Mississippi,,"683,577","441,782",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Missouri,,"971,143","712,335",-- ,-- ,-- ,-- ,"242,268",-- ,--,2018,-- 
Montana,,"291,890",-- ,"215,475",-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Nebraska,,"250,056","248,832",-- ,-- ,-- ,"247,580",-- ,190,--,2018,-- 
Nevada,,"666,561","457,782",-- ,-- ,-- ,"457,782","588,111",-- ,--,2018,-- 
New Hampshire,,"200,850","133,829",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
New Jersey,,"1,668,451","1,568,277",-- ,-- ,-- ,-- ,"1,561,266","1,067",--,2018,-- 
New Mexico,,"842,138","665,250",-- ,-- ,-- ,-- ,-- ,800,--,2018,-- 
