State,Notes,Total Medicaid Enrollees,Comprehensive MCO with or without MLTSS,PCCM,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year,PCCM Entity
New Jersey,,"1,892,091","1,819,895",--,--,--,--,"1,820,183","1,138",--,2021,--
New Mexico,,"941,830","780,811",--,--,--,--,--,"1,009",--,2021,--
New York,,"7,145,884","5,371,739",--,"243,332",--,--,--,"5,388",--,2021,--
North Carolina,,"2,557,593","1,547,885",--,--,"500,129",--,--,"2,090",--,2021,"519,528"
North Dakota,,"125,354","33,639","52,339",--,--,--,--,167,--,2021,--
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021,n/a
Ohio,,"3,238,849","2,782,234",--,--,--,--,--,657,--,2021,--
Oklahoma,,"1,065,121",--,"622,382",--,--,--,"1,039,676","1,171",--,2021,--
Oregon8,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs), (2) Dental Care Organizations (DCOs), and (3) the Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","1,286,095","1,163,448",--,--,--,--,--,"1,551",--,2021,--
Pennsylvania9,"Pennsylvania did not provide Medicaid-only enrollment counts for plans with fewer than 11 beneficiaries. As a result, PACE program level enrollment may be slightly undercounted.","3,292,313","3,083,197",--,--,"3,110,478",--,"705,163","7,586",183,2021,--
Puerto Rico,,"1,501,860","1,501,860",--,--,--,--,--,--,--,2021,--
Rhode Island,,"339,276","286,708",--,--,--,"127,877","335,296",344,--,2021,--
South Carolina,,"1,446,070","961,934",890,--,--,--,"1,446,070",443,--,2021,--
South Dakota,,"137,268",--,"83,890",--,--,--,--,--,--,2021,--
Tennessee10,"Tennessee’s enrollment in comprehensive MCOs includes 1,438,599 beneficiaries who were also enrolled in OptumRx for pharmacy benefits and 929,377 beneficiaries who were also enrolled in DentaQuest USA Insurance Company for dental services.","1,717,984","1,596,211",--,--,--,--,--,271,--,2021,--
Texas,,"4,928,655","4,023,238",--,--,--,"3,432,747",--,"1,084",--,2021,--
Utah11,Utah Medicaid enrollment increased due to state Medicaid expansion in 2020.,"424,565","351,918",--,--,"335,584","217,112","342,010",--,--,2021,--
Vermont12,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity via a managed care-like model that operates like a non-risk pre-paid inpatient health plan (PIHP).","191,240","131,002",--,--,--,--,--,,--,2021,--
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021,n/a
Virginia,,"1,852,563","1,690,548",--,--,--,--,--,"1,608",--,2021,--
Washington,,"2,008,655","1,771,676","3,054",--,"166,465",--,"2,008,655","1,110","12,950",2021,--
West Virginia,,"599,336","488,048",--,--,--,--,--,--,--,2021,--
Wisconsin,,"1,484,746","1,025,968",--,"51,310","1,007",--,--,513,"2,849",2021,--
Wyoming13,"Wyoming's Total Medicaid Enrollment as of July 1, 2021 was taken from the July - September 2021 enrollment data collected through the Medicaid Budget and Expenditure System, updated January 2023, and accessed April 2, 2023. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","73,227",--,--,--,--,--,--,--,--,2021,--
TOTALS,--,"98,019,715","71,877,483","2,609,121","376,907","8,513,386","15,615,556","12,011,628","64,253","601,869",2022,"3,540,184"
Alabama,--,"1,287,819",--,--,--,--,--,--,179,--,2022,"1,027,935"
Alaska,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","254,283",--,--,--,--,--,--,--,--,2022,--
American Samoa,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Arizona,--,"2,412,424","1,938,718",--,"64,311","63,866",--,--,--,--,2022,--
Arkansas,--,"1,763,975","63,088","922,951",--,--,"790,615","1,066,599",938,--,2022,--
California,--,"15,136,020","12,764,684",--,--,--,"960,281",--,"16,581",--,2022,--
Colorado,--,"1,608,310",--,--,--,--,--,--,"4,525",--,2022,"1,511,124"
Connecticut,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","1,140,225",--,--,--,--,--,--,--,--,2022,--
Delaware,--,"302,869","261,488",--,--,--,--,"268,117",270,--,2022,--
District of Columbia,--,"300,381","259,159",--,--,--,--,"29,637",--,--,2022,--
Florida,--,"5,399,695","4,200,391",--,--,--,"4,239,522","284,683","2,526","536,159",2022,--
Georgia,--,"2,734,003","2,008,026",--,--,--,--,"2,160,715",--,"62,723",2022,--
Guam,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Hawaii,--,"450,268","450,159",--,--,--,--,--,--,--,2022,--
Idaho,--,"424,893","25,689","328,976",--,"378,435","404,124","404,124",--,--,2022,--
Illinois,--,"3,726,082","2,796,521",--,--,--,--,--,--,--,2022,--
Indiana,--,"2,070,992","1,659,261",--,--,--,--,--,454,--,2022,--
Iowa,--,"803,050","752,949",--,--,--,"760,782","11,676",612,--,2022,--
Kansas,--,"525,725","442,962",--,--,--,--,--,873,--,2022,--
Kentucky,--,"1,651,543","1,494,070",--,--,--,--,"1,494,070",--,--,2022,--
Louisiana,--,"1,985,537","1,694,042",--,--,"140,471","1,838,441",--,410,--,2022,--
Maine,--,"393,783",--,0,--,--,--,"345,429",--,--,2022,--
Maryland,--,"1,734,624","1,496,141",--,--,--,--,--,109,--,2022,--
Massachusetts,--,"2,091,955","842,924","112,733",--,"624,711",--,--,"5,080",--,2022,"449,121"
Michigan,--,"3,092,404","3,069,866",--,"11,355","2,897,223","1,159,753",--,"4,293",--,2022,--
Minnesota,--,"1,348,563","1,180,108",--,--,--,--,--,--,--,2022,--
Mississippi,--,"858,687","365,169",--,--,--,--,--,--,--,2022,--
Missouri,--,"1,278,851","1,016,503",--,--,--,--,"272,717",12,--,2022,--
Montana,--,"289,659",--,"247,719",--,--,--,--,--,--,2022,--
Nebraska,--,"374,783","373,286",--,--,--,"372,705",--,206,--,2022,--
Nevada,--,"923,168","698,726",--,--,--,"698,448","839,650",--,--,2022,--
New Hampshire,--,"256,087","236,926",--,--,--,--,--,--,--,2022,--
New Jersey,--,"2,022,155","2,018,064",--,--,--,--,"1,499,339","1,152",--,2022,--
New Mexico,--,"984,008","814,349",--,--,--,--,--,400,--,2022,--
New York,--,"7,589,766","5,633,689",--,"248,579",--,--,--,"7,095",--,2022,--
North Carolina,--,"2,804,306","1,698,648",--,--,"536,329",--,--,"2,031",--,2022,"548,225"
North Dakota,--,"133,631","36,680","67,874",--,--,--,--,185,--,2022,--
Northern Mariana Islands,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Ohio,--,"3,425,876","2,962,334",--,--,--,--,--,651,--,2022,--
Oklahoma,--,"1,273,948",--,"824,413",--,--,--,"1,273,948",713,--,2022,--
Oregon,--,"1,393,623","1,264,162",--,--,--,--,--,"1,617",--,2022,--
Pennsylvania,--,"3,534,344","3,281,244",--,--,"3,326,273",--,"742,598","7,722",182,2022,--
Puerto Rico,--,"1,597,058","1,594,058",--,--,--,--,--,--,--,2022,--
Rhode Island,--,"357,304","300,495",--,--,--,"134,096","350,130",398,--,2022,--
South Carolina,--,"1,550,759","1,045,162",--,--,--,--,--,488,--,2022,"1,003"
South Dakota,--,"149,096",--,"104,455",--,--,--,--,,--,2022,--
Tennessee,"Tennessee did not provide a count of unduplicated enrollees in comprehensive MCO programs. Therefore, this value is listed as missing in Table 2. In the 2021 MMCDCS Tennessee reported 1,596,211 enrollees in comprehensive MCO programs.","1,817,119",****,--,--,--,--,--,286,--,2022,--
Texas,--,"5,543,480","5,294,263",--,--,--,"4,023,171",--,"1,097",--,2022,--
Utah,--,"477,832","396,559",--,--,"362,219","233,618","379,916",,--,2022,--
Vermont,--,"199,989","134,337",--,--,--,--,--,--,--,2022,--
Virgin Islands,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022,n/a
Virginia,--,"1,978,005","1,792,399",--,--,--,--,--,"1,646",--,2022,--
Washington,--,"2,229,539","1,893,433",--,--,"182,980",--,--,"1,190",--,2022,"2,776"
West Virginia,--,"660,068","521,017",--,--,--,--,"588,280",--,--,2022,--
Wisconsin,--,"1,593,772","1,105,734",--,"52,662",879,--,--,514,"2,805",2022,--
Wyoming,"The "Total Medicaid Enrollees" column represents an unduplicated count of all beneficiaries in FFS and any type of managed care, including Medicaid-only and dually eligible individuals receiving full Medicaid benefits or Medicaid cost sharing.","83,379",--,--,--,--,--,--,--,--,2022,--
TOTALS,--,"99,780,667","74,589,444","2,049,490","399,031","8,448,165","15,052,165","12,874,828","72,170","709,532",2023,"3,347,588"
Alabama,--,"1,352,426",--,--,--,--,--,--,183,--,2023,"1,075,381"
Alaska,--,"256,483",--,--,--,--,--,--,--,--,2023,--
American Samoa,--,"33,887",--,--,--,--,--,--,--,--,2023,--
Arizona,--,"2,297,677","1,819,113",--,"66,304","61,128",--,--,--,--,2023,--
Arkansas,--,"1,023,415","53,813","411,963",--,--,"655,176","876,634",799,--,2023,--
California,--,"15,627,380","13,884,186",--,--,--,"1,078,372",--,"19,642",--,2023,--
Colorado,--,"1,688,331",--,--,--,--,--,--,"4,110",--,2023,"1,580,702"
Connecticut,--,"1,162,357",--,--,--,--,--,--,--,--,2023,--
Delaware,--,"321,567","276,360",--,--,--,--,"285,832",328,--,2023,--
District of Columbia,--,"311,457","268,117",--,--,--,--,"28,392",25,--,2023,--
Florida,--,"5,427,530","4,170,083",--,--,--,"4,169,945","287,458","2,706","643,147",2023,--
Georgia,--,"2,848,804","2,092,165",--,--,--,--,"2,441,126",--,"63,398",2023,--
Guam,--,"44,290",--,--,--,--,--,--,--,--,2023,--
Hawaii,--,"446,840","446,739",--,--,--,--,--,--,--,2023,--
Idaho,--,"376,448","23,067","304,189",--,"331,761","354,828","354,828",--,--,2023,--
Illinois,--,"4,002,692","2,978,426",--,--,--,--,--,--,--,2023,--
Indiana,--,"2,158,978","1,696,897",--,--,--,--,--,531,--,2023,--
Iowa,--,"781,911","731,569",--,--,--,"738,796",--,672,--,2023,--
Kansas,--,"525,820","434,833",--,--,--,--,--,987,--,2023,--
Kentucky,--,"1,642,210","1,496,335",--,--,--,--,"1,642,210",--,--,2023,--
Louisiana,--,"2,034,265","1,730,641",--,--,"146,067","1,883,524",--,399,--,2023,--
Maine,--,"423,137",--,--,--,--,--,"378,407",--,--,2023,--
Maryland,--,"1,714,781","1,597,700",--,--,--,--,--,115,--,2023,--
Massachusetts,--,"2,352,340","1,062,723","61,161",--,"469,225",--,--,"4,737",--,2023,"336,480"
Michigan,--,"3,177,991","3,173,634",--,"12,233","3,054,656","1,196,223",--,"4,898",--,2023,--
Minnesota,--,"1,390,570","1,226,005",--,--,--,--,--,--,--,2023,--
Mississippi,--,"835,547","394,680",--,--,--,--,--,--,--,2023,--
Missouri,--,"1,495,869","1,215,755",--,--,--,--,"277,226",49,--,2023,--
Montana,"Montana could not provide unduplicated data for their PCCM program which is the only managed care program in the state. As a result, the data for the PCCM program in Table 2 is equivalent to their total unduplicated number of managed care enrollees.","249,265",--,"226,358",--,--,--,--,--,--,2023,--
Nebraska,--,"401,247","397,418",--,--,--,"396,953",--,208,--,2023,--
Nevada,Nevada reported a number for total enrollment in "NEMT" that was greater than "Total Medicaid Enrollees" but did not provide an explanation for why this number was greater.,"881,956","664,568",--,--,--,"700,805","888,352",--,--,2023,--
New Hampshire,--,"213,224","189,740",--,--,--,"96,843",--,--,--,2023,--
New Jersey,--,"2,136,245","2,069,208",--,--,--,--,"2,070,497","1,289",--,2023,--
New Mexico,--,"955,289","783,265",--,--,--,--,--,382,--,2023,--
New York,--,"7,903,244","5,737,395",--,"266,772",--,--,--,"9,159",--,2023,--
North Carolina,--,"2,968,070","1,886,044",--,--,"535,386",--,--,"2,124",--,2023,"351,654"
North Dakota,--,"133,631","36,680","72,232",--,--,--,--,190,--,2023,--
Northern Mariana Islands,--,"17,129",--,--,--,--,--,--,--,--,2023,--
Ohio,--,"3,424,183","3,080,750",--,--,--,--,--,640,--,2023,--
Oklahoma,--,"1,317,840",--,"861,464",--,--,--,"1,317,840",792,--,2023,--
Oregon,--,"1,466,163","1,376,758",--,--,--,--,--,"3,368",--,2023,--
Pennsylvania,--,"3,577,205","3,312,543",--,--,"3,356,605",--,"752,289","7,991",189,2023,--
Puerto Rico,--,"1,571,315","1,571,315",--,--,--,--,--,--,--,2023,--
Rhode Island,--,"372,750","315,156",--,--,--,"143,241","367,859",407,--,2023,--
South Carolina,--,"1,574,873","1,013,441",--,--,--,--,--,509,--,2023,"1,014"
South Dakota,--,"126,186",--,"112,123",--,--,--,--,--,--,2023,--
Tennessee,"Tennessee's 2023 data submission indicated they were unable to provide an unduplicated count of enrollees in their ""Comprehensive MCO (with or without MLTSS)"" program. As a result, Tennessee's Medicaid enrollment by managed care program type is not reported in Table 2. The column ""Comprehensive MCO (with or without MLTSS)"" in Table 2 does not include PACE; therefore, we are unable to use the state-reported ""Total Medicaid Enrollment in Any Type of Managed Care"" as reported in Tables 1 and 4.","1,887,683",***,--,--,--,--,--,***,--,2023,--
Texas,--,"5,564,986","5,382,989",--,--,--,"3,438,321",--,"1,140",--,2023,--
Utah,--,"451,594","348,234",--,--,"333,959","199,138","361,136",--,--,2023,--
Vermont,--,"187,921","187,921",--,--,--,--,--,--,--,2023,--
Virgin Islands,--,"36,868",--,--,--,--,--,--,--,--,2023,--
Virginia,--,"2,125,259","2,029,023",--,--,--,--,--,"1,881",--,2023,--
Washington,--,"2,178,756","1,841,144",--,--,"158,470",--,--,"1,390",--,2023,"2,357"
West Virginia,--,"623,370","484,275",--,--,--,--,"544,742",--,--,2023,--
Wisconsin,--,"1,588,211","1,108,736",--,"53,722",681,--,--,519,"2,798",2023,--
Wyoming,--,"91,201",--,--,--,227,--,--,--,--,2023,--
TOTALS,--,"86,916,019","66,418,633","980,259","429,894","6,729,872","12,953,134","10,572,828","77,723","636,264",2024,"2,368,785"
Alabama,--,"1,098,614",--,--,--,--,--,--,193,--,2024,"837,612"
Alaska,--,"236,414",--,--,--,--,--,--,--,--,2024,--
American Samoa,--,"33,746",--,--,--,--,--,--,--,--,2024,--
Arizona,--,"2,181,548","1,716,161",--,"68,974","58,162",--,--,--,--,2024,--
Arkansas,--,"900,323","47,869","392,159",--,--,"597,017","777,129",799,--,2024,--
California,--,"14,904,950","14,305,060",--,--,--,"956,854",--,"22,587",--,2024,--
Colorado,--,"1,197,490",--,--,--,--,--,--,"4,376",--,2024,"1,075,056"
Connecticut,--,"1,085,951",--,--,--,--,--,--,--,--,2024,--
Delaware,--,"259,168","219,167",--,--,--,--,"236,213",370,--,2024,--
District of Columbia,--,"275,158","238,159",--,--,--,--,"25,938",61,--,2024,--
Florida,--,"4,363,948","3,050,800",--,--,--,"3,091,795","165,577","2,896","569,531",2024,--
Georgia,--,"2,314,875","1,594,095",--,--,--,--,"1,908,368",--,"63,797",2024,--
Guam,--,"34,824",--,--,--,--,--,--,--,--,2024,--
Hawaii,--,"432,222","432,125",--,--,--,--,--,--,--,2024,--
Idaho,--,"331,580","21,256","250,506",--,"286,845","308,110","308,110",--,--,2024,--
Illinois,--,"3,418,634","2,584,970",--,--,--,--,--,--,--,2024,--
Indiana,--,"1,972,638","1,608,993",--,--,--,--,--,671,--,2024,--
Iowa,--,"649,899","603,975",--,--,--,"630,265",--,721,--,2024,--
Kansas,--,"453,240","358,532",--,--,--,--,--,"1,045",--,2024,--
Kentucky,--,"1,449,651","1,303,955",--,--,--,--,"1,449,651",--,--,2024,--
Louisiana,--,"1,676,215","1,403,109",--,--,"127,243","1,532,936",--,436,--,2024,--
Maine,--,"415,298",--,--,--,--,--,"366,314",--,--,2024,--
Maryland,--,"1,762,462","1,665,870",--,--,--,--,--,105,--,2024,--
Massachusetts,--,"1,983,201","903,795","46,496",--,"365,663",--,--,"4,972",--,2024,"270,499"
Michigan,--,"2,416,518","2,362,189",--,"12,321","2,351,225","1,261,945",--,"5,333",--,2024,--
Minnesota,--,"1,204,793","1,003,639",--,--,--,--,--,--,--,2024,--
Mississippi,--,"645,050","478,746",--,--,--,--,--,--,--,2024,--
Missouri,--,"1,222,962","1,021,946",--,--,--,--,"244,150",73,--,2024,--
Montana,"Montana could not provide unduplicated data for their PCCM program. As a result, Montana's Medicaid enrollment by managed care program type is not reported in Table 2.","213,159",--,***,--,--,--,--,--,--,2024,***
Nebraska,--,"351,141","350,237",--,--,--,--,--,214,--,2024,--
Nevada,--,"824,507","613,298",--,--,--,"618,649","761,092",--,--,2024,--
New Hampshire,--,"199,513","181,676",--,--,--,"89,662",--,--,--,2024,--
New Jersey,--,"1,700,910","1,555,225",--,--,--,--,"1,556,565","1,340",--,2024,--
New Mexico,--,"900,757","735,171",--,--,--,--,--,451,--,2024,--
New York,--,"6,964,926","4,751,430",--,"295,661",--,--,--,"9,481",--,2024,--
North Carolina,--,"3,057,965","2,417,931",--,--,"362,730",--,--,"2,157",--,2024,"182,777"
North Dakota,--,"105,070","24,356",--,--,--,--,--,190,--,2024,--
Northern Mariana Islands,--,"20,200",--,--,--,--,--,--,--,--,2024,--
Ohio,--,"3,018,792","2,718,815",--,--,--,--,--,664,--,2024,--
Oklahoma,--,"1,040,358","567,698","184,226",--,--,"613,512","1,040,358",795,--,2024,--
Oregon,--,"1,340,084","1,309,000",--,--,--,--,--,"3,713",--,2024,--
Pennsylvania,--,"2,967,715","2,738,844",--,--,"2,782,849",--,"646,232","7,886",184,2024,--
Puerto Rico,--,"1,400,933","1,400,933",--,--,--,--,--,--,--,2024,--
Rhode Island,--,"317,797","267,202",--,--,--,"132,957","312,709",410,--,2024,--
South Carolina,--,"1,354,616","812,589",--,--,--,--,--,539,--,2024,995
South Dakota,--,"144,864",--,"106,872",--,--,--,--,--,--,2024,--
Tennessee,"Tennessee's 2024 data submission indicated they were unable to provide an unduplicated count of enrollees in their ""Comprehensive MCO (with or without MLTSS)"" program. As a result, Tennessee's Medicaid enrollment by managed care program type is not reported in Table 2. The column ""Comprehensive MCO (with or without MLTSS)"" in Table 2 does not include PACE; therefore, we are unable to use the state-reported ""Total Medicaid Enrollment in Any Type of Managed Care"" as reported in Tables 1 and 4. ","1,526,625",***,--,--,--,--,--,***,--,2024,--
Texas,--,"4,141,972","3,842,754",--,--,--,"2,904,560",--,"1,136",--,2024,--
Utah,--,"331,012","260,258",--,--,"254,488","214,872","318,323",--,--,2024,--
Vermont,--,"165,372","165,372",--,--,--,--,--,--,--,2024,--
Virgin Islands,--,"22,179",--,--,--,--,--,--,--,--,2024,--
Virginia,--,"1,953,730","1,810,041",--,--,--,--,--,"2,066",--,2024,--
Washington,--,"1,984,868","1,668,042",--,--,"140,052",--,--,"1,538",--,2024,"1,846"
West Virginia,--,"533,405","407,316",--,--,--,--,"456,099",--,--,2024,--
Wisconsin,--,"1,339,124","896,034",--,"52,938",413,--,--,505,"2,752",2024,--
Wyoming,--,"73,053",--,--,--,202,--,--,--,--,2024,--