State,Notes,Total beneficiaries,Comprehensive MCO (with or without MLTSS),PCCM,PCCM entity,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year
Indiana6,"The dually eligible enrollees shown in the enrollment counts for Healthy Indiana, Hoosier Healthwise, and Hoosier Care Connect are Medicaid managed care enrollees who gained Medicare eligibility during the public health emergency and, due to maintenance of effort requirements, remained in their existing Medicaid managed care plan.","226,813","4,990",--,--,--,--,--,--,423,--,2020
Iowa,,"88,700","66,954",--,--,--,--,"67,234",779,558,--,2020
Kansas,,"85,381","42,450",--,--,--,--,--,--,0,--,2020
Kentucky,,"103,806","69,622",--,--,--,--,--,"70,922",--,--,2020
Louisiana,,"230,998",230,--,--,--,"125,376",0,--,452,--,2020
Maine,,"93,127",--,0,--,--,--,--,"51,041",--,--,2020
Maryland,,"150,332",0,--,--,--,--,--,--,108,--,2020
Massachusetts,,"358,851","59,914",0,0,--,0,--,--,"4,635",--,2020
Michigan7,"Michigan updated their reporting methodology in 2020 to more accurately calculate overall Medicaid and managed care enrollment, resulting in a significant decrease in enrollment counts between 2019 and 2020.","328,585","41,168",--,--,"11,098",0,0,--,"3,397",--,2020
Minnesota,,"128,357","34,204",--,--,--,--,--,--,--,--,2020
Mississippi,,"162,695",0,--,--,--,--,--,--,--,--,2020
Missouri,,"193,089",0,--,--,--,--,--,"158,232",--,--,2020
Montana,,"30,000",--,0,--,--,--,--,--,--,--,2020
Nebraska,,"35,888","35,280",--,--,--,--,"35,246",--,193,--,2020
Nevada,,"81,465",0,--,--,--,--,0,0,--,--,2020
New Hampshire,,"33,062","17,756",--,--,--,--,--,--,--,--,2020
New Jersey,,"197,043","183,547",--,--,--,--,--,"183,649","1,020",--,2020
New Mexico,,"42,542","42,542",--,--,--,--,--,--,794,--,2020
New York,,"974,235","24,853",--,--,"220,910",--,--,--,"4,941",--,2020
North Carolina,,"359,965",--,--,"154,869",--,"178,758",--,--,"2,090",--,2020
North Dakota,,"15,956",0,0,--,--,--,--,--,164,--,2020
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
Ohio,,"251,412","64,111",--,--,--,--,--,--,517,--,2020
Oklahoma,,"119,292",--,"119,292",--,--,--,--,"119,292",569,--,2020
Oregon8,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs), (2) Dental Care Organizations (DCOs), and (3) the Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","76,417","76,417",--,--,--,--,--,--,"1,536",--,2020
Pennsylvania,,"492,575","367,361",--,--,--,"392,716",--,"80,739","6,701",86,2020
Puerto Rico,,"384,146","325,508",--,--,--,--,--,--,--,--,2020
Rhode Island9, The number of Medicare-Medicaid dual eligible enrollees decreased 72 percent from 2019 due to discontinuation of the Rhode Health Options (RHO) program and transition of those enrollees either into fee-for-service or Rhody Health Partners.,"37,111",0,--,--,--,--,0,"37,111",0,--,2020
South Carolina,,"164,438",0,0,--,--,--,--,"164,438",320,--,2020
South Dakota,,"18,628",--,0,--,--,--,--,--,--,--,2020
Tennessee10,Tennessee’s enrollment in comprehensive MCOs includes 364 dually eligible beneficiaries who were also enrolled in OptumRx for pharmacy benefits and 364 dually eligible beneficiaries who are also enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.,"270,830","153,180",--,--,--,--,--,--,260,--,2020
Texas,,"672,073","300,437",--,--,--,--,0,"356,258","1,135",--,2020
Utah,,"32,026","24,234",--,--,--,"31,155","20,681","27,095",--,--,2020
Vermont11,"Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health Demonstration are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","32,211",552,--,--,--,--,--,--,--,--,2020
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
Virginia,,"200,017","120,351",--,--,--,--,--,--,981,--,2020
Washington12,"Washington is unable to report plan-level enrollment counts separately for Medicaid-only and Medicare-Medicaid dually eligible enrollees. As a result, enrollment counts for Medicare-Medicaid beneficiaries are excluded from this report. ","117,021",0,0,--,--,0,--,0,0,0,2020
West Virginia,,"83,798",0,--,--,--,--,--,--,--,--,2020
Wisconsin,,"61,723","19,736",--,--,"41,464",2,--,--,521,0,2020
Wyoming,,"11,835",--,--,--,--,--,--,--,132,--,2020
TOTALS,,"11,138,348","3,154,697","4,755","266,945","471,165","737,347","617,068","1,080,612","50,425",92,2021
Alabama,,"221,216",--,--,"18,277",--,--,--,--,152,--,2021
Alaska,,n/a,--,--,--,--,--,--,--,--,--,2021
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021
Arizona,,"249,510","128,391",,,"29,507","14,816",,,,,2021
Arkansas,,"143,973","6,193",0,,,,"62,364","64,028",413,0,2021
California,,"1,472,734","961,385",,,,,"61,758",,"8,850",,2021
Colorado,,"97,676","11,402",--,"81,184",--,--,--,--,"4,635",--,2021
Connecticut,,n/a,--,--,--,--,--,--,--,--,--,2021
Delaware,,"31,047","15,027",--,--,--,--,--,"16,785",233,--,2021
District of Columbia,,"38,902","1,855",--,--,--,--,--,"24,786",--,--,2021
Florida,,"945,043","104,308",--,--,"110,549",--,"225,361",--,"2,929",--,2021
Georgia4,"Georgia is unable to provide separate counts of Medicaid-only and dually eligible individuals for their NEMT program. As a result, dually eligible enrollment is reported here as zero.","371,127",0,--,--,--,--,--,0,--,--,2021
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021
Hawaii,,"40,662","40,662",--,--,--,--,--,--,--,--,2021
Idaho,,"51,066","23,603","4,755",--,--,"6,116","29,853","29,853",--,--,2021
Illinois5,"In Illinois, the total number of beneficiaries using MLTSS increased substantially in 2021 due to the statewide expansion of the Medicare-Medicaid Alignment Initiative (MMAI) Program with initial enrollment effective dates of July 1, 2021. MLTSS members disenrolling from the MMAI program  enrolled in the MLTSS program, with initial enrollment effective dates of July 1, 2021.","422,567",0,--,--,"64,799",--,--,--,--,--,2021
Indiana6,"The dually eligible individuals shown in the enrollment counts for Healthy Indiana, Hoosier Healthwise, and Hoosier Care Connect are Medicaid managed care enrollees who gained Medicare eligibility during the public health emergency and, due to maintenance of effort requirements, remained in their existing Medicaid managed care plan.","237,807","9,209",--,--,--,--,--,--,402,--,2021
Iowa,,"92,987","70,192",--,--,--,--,"70,515",--,568,--,2021
Kansas,,"85,977","41,815",--,--,--,--,--,--,0,--,2021
Kentucky,,"102,045","72,313",--,--,--,--,--,"102,045",--,--,2021
Louisiana,,"249,986","1,046",,,,"125,586","131,128",,403,,2021
Maine,,"97,691",--,0,--,--,--,--,"54,881",--,--,2021
Maryland,,"182,712",0,--,--,--,--,--,--,83,--,2021
Massachusetts,,"377,275","65,632",0,0,--,0,--,--,"4,788",--,2021
Michigan,,"352,294","47,574",--,--,"11,435",0,0,--,"3,795",--,2021
Minnesota,,"131,786","41,785",,,,,,,,,2021
Mississippi,,"165,884",0,--,--,--,--,--,--,--,--,2021
Missouri,,"203,982",0,--,--,--,--,--,"168,429",--,--,2021
Montana,,"28,950",--,0,--,--,--,--,--,--,--,2021
Nebraska,,"36,925","36,233",,,,,"36,019",,193,,2021
Nevada,,"6,484",0,--,--,--,--,0,0,--,--,2021
New Hampshire,,"35,518","19,556",--,--,--,--,--,-- ,--,--,2021
New Jersey,,"235,908","199,422",--,--,--,--,--,"199,598","1,012",--,2021
New Mexico,,"48,519","47,575",--,--,--,--,--,--,944,--,2021
New York,,"1,027,881","32,052",--,--,"213,455",--,--,--,"4,856",--,2021
North Carolina,,"379,080",347,--,"167,484",--,"181,139",--,-- ,"1,992",--,2021
North Dakota,,"17,305","17,305",0,--,--,--,--,--,158,--,2021
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021
Ohio,,"251,693","57,450",--,--,--,--,--,-- ,543,--,2021
Oklahoma,,"124,856",--,0,--,--,--,--,"99,411","1,023",--,2021
Oregon7,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs), (2) Dental Care Organizations (DCOs), and (3) the Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","87,316","87,316",--,--,--,--,--,--,"1,468",--,2021
Pennsylvania,,"490,940","42,332",--,--,--,"381,219",--,"84,424","7,022",92,2021
Puerto Rico,,"341,495","341,495",--,--,--,--,--,--,--,--,2021
Rhode Island,,"40,513","3,693",--,--,--,--,52,"39,335",316,--,2021
South Carolina,,"170,605",0,0,--,--,--,--,"170,605",389,--,2021
South Dakota,,"18,930",--,0,--,--,--,--,--,--,--,2021
Tennessee8,Tennessee’s enrollment in comprehensive MCOs includes 420 dually eligible individuals who were also enrolled in OptumRx for pharmacy benefits and 420 dually eligible individuals who are also enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.,"279,004","158,035",--,--,--,--,--,--,255,--,2021
Texas,,"681,233","296,579",--,--,--,--,0,--,"1,032",--,2021
Utah,,"35,721","23,808",--,--,--,"28,471",18,"26,432",--,--,2021
Vermont9,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity via a managed care-like model that operates like a non-risk pre-paid inpatient health plan (PIHP). Vermont pays for Medicaid services for dually eligible individuals on an FFS basis. Dually eligible enrollees reported in the Global Commitment to Health Demonstration are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","33,822",669,,,,,,,,,2021
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021
Virginia,,"127,891","126,407",,,,,,,"1,484",,2021
Washington10,"Washington is unable to report plan-level enrollment counts separately for Medicaid-only and dually eligible individuals. As a result, enrollment counts for dually eligible individuals are excluded from this report.","119,074",0,0,,,0,,0,0,0,2021
West Virginia,,"88,798",0,--,--,--,--,--,--,--,--,2021
Wisconsin,,"63,938","22,031",--,--,"41,420",0,--,-- ,487,0,2021
Wyoming,,n/a,--,--,--,--,--,--,--,--,--,2021
TOTALS,--,"11,329,890","3,912,270","157,933","289,331","299,013","762,954","594,393","1,053,509","51,115","256,858",2022
Alabama,--,"228,339",--,--,"18,983",--,--,--,--,163,--,2022
Alaska,--,n/a,--,--,--,--,--,--,--,--,--,2022
American Samoa,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022
Arizona,--,"263,180","139,969",--,--,"29,464","15,112",--,--,--,--,2022
Arkansas,--,"153,050","6,904","153,050",--,--,--,"74,216","75,684",461,--,2022
California,--,"1,559,182","1,020,629",--,--,--,--,"68,405",--,"10,651",--,2022
Colorado,--,"142,508",--,--,"101,683",--,--,--,--,"4,282",--,2022
Connecticut,--,n/a,--,--,--,--,--,--,--,--,--,2022
Delaware,--,"23,421","14,146",--,--,--,--,--,"17,901",266,--,2022
District of Columbia,--,"41,101","15,403",--,--,--,--,--,"18,304",--,--,2022
Florida,--,979800,"173,138",--,--,--,--,"173,087","42,053","2,351","256,765",2022
Georgia,--,"390,739",0,--,--,--,--,--,0,--,0,2022
Guam,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022
Hawaii,--,"39,522","39,522",--,--,--,--,--,--,--,--,2022
Idaho,--,"53,001","25,689","4,883",--,--,"6,543","32,232","32,232",--,--,2022
Illinois,--,"456,554",0,--,--,--,--,--,--,--,--,2022
Indiana,--,"251,845","14,449",--,--,--,--,--,--,419,--,2022
Iowa,--,"96,950","72,835",--,--,--,--,"73,189",841,578,--,2022
Kansas,--,"93,763","44,244",--,--,--,--,--,--,0,--,2022
Kentucky,--,196403,"78,422",--,--,--,--,--,"104,585",--,--,2022
Louisiana,--,"261,993","2,371",--,--,--,"128,726","135,648",--,393,--,2022
Maine,--,"93,532",--,0,--,--,--,--,"59,045",--,--,2022
Maryland,--,"174,112",0,--,--,--,--,--,--,0,--,2022
Massachusetts,--,"377,275","65,632",0,0,--,0,--,--,"4,788",--,2022
Michigan,--,"51,546","47,433",--,--,"10,586",0,0,--,"4,086",--,2022
Minnesota,--,"43,465","42,963",--,--,--,--,--,--,--,--,2022
Mississippi,--,0,0,--,--,--,--,--,--,--,--,2022
Missouri,--,"211,620",0,--,--,--,--,--,"175,613",10,--,2022
Montana,--,"30,204",--,0,--,--,--,--,--,--,--,2022
Nebraska,--,"38,314","37,518",--,--,--,--,"37,490",--,181,--,2022
Nevada,--,"91,338",0,--,--,--,--,0,0,--,--,2022
New Hampshire,--,"37,638","21,283",--,--,--,--,--,--,--,--,2022
New Jersey,--,"199,783","283,013",--,--,--,--,--,"182,983","1,034",--,2022
New Mexico,--,"46,254","46,254",--,--,--,--,--,--,384,--,2022
New York,--,"1,057,154","57,326",--,--,"216,658",--,--,--,"4,870",--,2022
North Carolina,--,"401,840",465,--,"168,661",--,"181,104",--,--,"1,929",--,2022
North Dakota,--,"17,677",0,0,--,--,--,--,--,175,--,2022
Northern Mariana Islands,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022
Ohio,--,"395,829","147,777",--,--,--,--,--,--,532,--,2022
Oklahoma,--,"133,713",--,0,--,--,--,--,"133,713",623,--,2022
Oregon,--,"100,539","98,998",--,--,--,--,--,--,"1,541",--,2022
Pennsylvania,--,"512,383","370,173",--,--,--,"394,973",--,"87,571","7,287",93,2022
Puerto Rico,--,"370,273","370,273",--,--,--,--,--,--,--,--,2022
Rhode Island,--,"45,271","5,151",--,--,--,--,60,"42,694",358,--,2022
South Carolina,--,"172,796",359,--,4,--,--,--,--,447,--,2022
South Dakota,--,"19,173",--,0,--,--,--,--,--,--,--,2022
Tennessee,--,"285,069","167,802",--,--,--,--,--,--,273,--,2022
Texas,--,"702,582","310,012",--,--,--,--,0,--,"1,041",--,2022
Utah,--,"37,689","29,827",--,--,--,"36,496",66,"33,327",--,--,2022
Vermont,--,"34,888",796,--,--,--,--,--,--,--,--,2022
Virgin Islands,--,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2022
Virginia,--,"139,708","136,143",--,--,--,--,--,--,"1,507",--,2022
Washington,--,"113,005",0,--,0,--,0,--,--,0,--,2022
West Virginia,--,"95,728",0,--,--,--,--,--,"46,963",--,--,2022
Wisconsin,--,"68,141","25,351",--,--,"42,305",0,--,--,485,0,2022
Wyoming,--,n/a,--,--,--,--,--,--,--,--,--,2022
TOTALS,--,"11,567,780","4,460,800","4,310","305,986","316,907","992,622","600,456","1,210,006","54,054","305,722",2023
Alabama,--,"236,562",--,--,"20,361",--,--,--,--,170,--,2023
Alaska,--,--,--,--,--,--,--,--,--,--,--,2023
American Samoa,--,--,--,--,--,--,--,--,--,--,--,2023
Arizona,--,"261,051","134,097",--,--,"29,666","14,261",--,--,--,--,2023
Arkansas,--,"89,774","2,354",135,--,--,--,"19,604","19,556",233,--,2023
California,--,"1,759,357","1,499,854",--,--,--,--,"117,384",--,"12,400",--,2023
Colorado,--,"153,635",--,--,"116,499",--,--,--,--,"4,022",--,2023
Connecticut,--,--,--,--,--,--,--,--,--,--,--,2023
Delaware,--,"29,872","15,130",--,--,--,--,--,"21,176",318,--,2023
District of Columbia,--,"43,149","19,676",--,--,--,--,--,"16,322",25,--,2023
Florida,--,"509,983","164,069",--,--,--,--,"163,943","57,543","2,528","305,625",2023
Georgia,--,"405,581",0,--,--,--,--,--,0,--,0,2023
Guam,--,--,--,--,--,--,--,--,--,--,--,2023
Hawaii,--,"45,505","45,495",--,--,--,--,--,--,--,--,2023
Idaho,--,"51,736","23,067","4,175",--,--,"7,049","30,116","30,116",--,--,2023
Illinois,--,"483,798","65,036",--,--,--,--,--,--,--,--,2023
Indiana,--,"263,187","16,833",--,--,--,--,--,--,484,--,2023
Iowa,--,"94,699","69,239",--,--,--,--,"69,558",--,46,--,2023
Kansas,--,"94,949","46,318",--,--,--,--,--,--,0,--,2023
Kentucky,--,"196,326","71,114",--,--,--,--,--,"196,326",--,--,2023
Louisiana,--,"266,485",264,--,--,--,"134,216","140,628",--,381,--,2023
Maine,--,"96,031",--,--,--,--,--,--,"59,072",--,--,2023
Maryland,--,"196,745",0,--,--,--,--,--,--,115,--,2023
Massachusetts,--,"376,116","67,716",0,0,--,754,--,--,"4,470",--,2023
Michigan,--,"47,466","42,823",--,--,"11,347",0,0,--,"4,643",--,2023
Minnesota,Minnesota reported a number for dually eligible individuals in "Comprehensive MCO (with or without MLTSS)" that was greater than "Total Dually Eligible Individuals" but did not provide an explanation for why this number was greater.,"46,878","48,856",--,--,--,--,--,--,--,--,2023
Mississippi,--,"132,388",0,--,--,--,--,--,--,--,--,2023
Missouri,--,"234,854",0,--,--,--,--,--,"169,730",38,--,2023
Montana,--,"29,781",--,0,--,--,--,--,--,--,--,2023
Nebraska,--,"41,918","39,015",--,--,--,--,"38,981",--,186,--,2023
Nevada,--,"90,799",71,--,--,--,--,"2,357","48,702",--,--,2023
New Hampshire,--,"32,988","17,656",--,--,--,--,"17,715",--,--,--,2023
New Jersey,--,"237,760","230,019",--,--,--,--,--,"231,157","1,138",--,2023
New Mexico,--,"47,402","47,402",--,--,--,--,--,--,369,--,2023
New York,"In 2023, New York reported a program called Fully Integrated Duals Advantage for Individuals with Intellectual and Developmental Disabilities (FIDA-IDD). This additional program combined with an increase in enrollment due to the PHE, resulted in an increase from 2022 for total dually eligible individuals in "Comprehensive Managed Care (with or without MLTSS)".","1,187,935","211,397",--,--,"232,800",--,--,--,"5,208",--,2023
North Carolina,--,"424,274",715,--,"169,123",--,"232,236",--,--,"1,994",--,2023
North Dakota,--,"17,341",0,0,--,--,--,--,--,177,--,2023
Northern Mariana Islands,--,--,--,--,--,--,--,--,--,--,--,2023
Ohio,--,"393,349","204,041",--,--,--,--,--,--,512,--,2023
Oklahoma,--,"138,253",--,0,--,--,--,--,"138,253",674,--,2023
Oregon,--,"110,142","108,510",--,--,--,--,--,--,"1,632",--,2023
Pennsylvania,--,"524,011","383,797",--,--,--,"407,252",--,"90,312","6,826",97,2023
Puerto Rico,--,"300,691","300,691",--,--,--,--,--,--,--,--,2023
Rhode Island,--,"49,075","6,523",--,--,--,--,88,"47,683",358,--,2023
South Carolina,--,"210,033","1,787",--,3,--,--,--,--,474,--,2023
South Dakota,--,"18,081",--,0,--,--,--,--,--,--,--,2023
Tennessee,"Tennessee's 2023 data submission indicated they were unable to provide an unduplicated count of enrollees in comprehensive MCO programs. Therefore, Table 3 does not include Tennessee's dually eligible enrollees enrolled in managed care by program type. ","290,633",***,--,--,--,--,--,--,***,--,2023
Texas,--,"715,272","328,450",--,--,--,--,0,--,"1,085",--,2023
Utah,--,"43,036","29,753",--,--,--,"38,384",82,"36,431",--,--,2023
Vermont,--,"18,635","18,635",--,--,--,--,--,--,--,--,2023
Virgin Islands,--,--,--,--,--,--,--,--,--,--,--,2023
Virginia,--,"206,466","163,612",--,--,--,--,--,--,"1,677",--,2023
Washington,Washington reported a number for total dually eligible individuals in "BHO (PIHP and/or PAHP)" that was greater than "Total Dually Eligible Individuals" but did not provide an explanation for why this number was greater. ,"146,480","9,498",--,0,--,"158,470",--,--,"1,390",--,2023
West Virginia,--,"93,646",0,--,--,--,--,--,"47,627",--,--,2023
Wisconsin,--,"70,862","27,287",--,--,"43,094",0,--,--,481,0,2023
Wyoming,--,"12,790",--,--,--,--,0,--,--,--,--,2023
TOTALS,--,"10,821,939","4,302,992","3,927","248,200","337,901","857,795","487,204","1,050,580","58,171","271,257",2024
Alabama,--,"224,350",--,--,"20,750",--,--,--,--,172,--,2024
Alaska,--,--,--,--,--,--,--,--,--,--,--,2024
American Samoa,--,--,--,--,--,--,--,--,--,--,--,2024
Arizona,--,"254,790","125,909",--,--,"29,762","13,038",--,--,--,--,2024
Arkansas,--,"89,115","2,613",99,--,--,--,"18,857","19,152",233,--,2024
California,--,"1,755,081","1,602,179",--,--,--,--,"110,028",--,"14,293",--,2024
Colorado,--,"122,191",--,--,"87,359",--,--,--,--,"4,270",--,2024
Connecticut,--,--,--,--,--,--,--,--,--,--,--,2024
Delaware,--,"30,807","14,903",--,--,--,--,--,"17,142",354,--,2024
District of Columbia,--,"34,548","16,409",--,--,--,--,--,"11,509",61,--,2024
Florida,--,"414,282","125,209",--,--,--,--,"125,134","25,102","2,690","271,162",2024
Georgia,--,"350,451",0,--,--,--,--,--,0,--,0,2024
Guam,--,--,--,--,--,--,--,--,--,--,--,2024
Hawaii,--,"46,536","46,523",--,--,--,--,--,--,--,--,2024
Idaho,--,"50,690","21,256","3,828",--,--,"5,955","27,220","27,220",--,--,2024
Illinois,--,"413,207","59,453",--,--,--,--,--,--,--,--,2024
Indiana,--,"238,394","98,965",--,--,--,--,--,--,606,--,2024
Iowa,--,"86,778","61,534",--,--,--,--,"61,826",--,55,--,2024
Kansas,--,"89,533","44,026",--,--,--,--,--,--,0,--,2024
Kentucky,--,"179,479","48,525",--,--,--,--,--,"179,479",--,--,2024
Louisiana,--,"243,429",247,--,--,--,"116,247","120,024",--,419,--,2024
Maine,--,"96,407",--,--,--,--,--,--,"60,100",--,--,2024
Maryland,--,"202,210",0,--,--,--,--,--,--,105,--,2024
Massachusetts,--,"354,871","69,788",0,0,--,421,--,--,"4,693",--,2024
Michigan,--,"36,461","31,410",--,--,"11,453",0,0,--,"5,051",--,2024
Minnesota,--,"35,748","35,748",--,--,--,--,--,--,--,--,2024
Mississippi,--,"121,312",0,--,--,--,--,--,--,--,--,2024
Missouri,--,"208,838",0,--,--,--,--,--,"163,323",55,--,2024
Montana,--,"23,126",--,0,0,--,--,--,--,--,--,2024
Nebraska,--,"37,510","36,753",--,--,--,--,--,--,190,--,2024
Nevada,--,"89,920","2,357",--,--,--,--,"7,708","34,645",--,--,2024
New Hampshire,--,"29,971","16,148",--,--,--,--,"16,233",--,--,--,2024
New Jersey,--,"206,736","192,839",--,--,--,--,--,"194,028","1,189",--,2024
New Mexico,--,"42,661","42,228",--,--,--,--,--,--,433,--,2024
New York,"States are asked to abstain from reporting Financial Alignment Initiatives (FAI) in their enrollment data submissions. However, in 2024, New York reported a FAI program called Fully Integrated Duals Advantage for Individuals with Intellectual and Developmental Disabilities (FIDA-IDD).","1,210,384","144,151",--,--,"254,476",--,--,--,"5,448",--,2024
North Carolina,--,"431,534","8,297",--,"140,090",--,"186,457",--,--,"2,008",--,2024
North Dakota,--,"16,027",0,--,--,--,--,--,--,174,--,2024
Northern Mariana Islands,--,--,--,--,--,--,--,--,--,--,--,2024
Ohio,--,"387,354","200,457",--,--,--,--,--,--,527,--,2024
Oklahoma,--,"122,425",0,0,--,--,--,0,"122,425",680,--,2024
Oregon,--,"113,833","112,034",--,--,--,--,--,--,"1,799",--,2024
Pennsylvania,--,"469,076","340,016",--,--,--,"364,588",--,"84,553","6,901",95,2024
Puerto Rico,--,"297,580","297,580",--,--,--,--,--,--,--,--,2024
Rhode Island,--,"40,899","2,610",--,--,--,--,76,"39,406",363,--,2024
South Carolina,--,"204,525","1,497",--,1,--,--,--,--,496,--,2024
South Dakota,--,"18,460",--,0,--,--,--,--,--,--,--,2024
Tennessee,"Tennessee's 2024 data submission indicated they were unable to provide an unduplicated count of enrollees in comprehensive MCO programs. Therefore, Table 3 does not include Tennessee's dually eligible enrollees enrolled in managed care by program type.","248,695",***,--,--,--,--,--,--,***,--,2024
Texas,--,"633,525","298,346",--,--,--,--,0,--,"1,087",--,2024
Utah,--,"39,393","22,692",--,--,--,"31,037",98,"28,827",--,--,2024
Vermont,--,"21,593","21,593",--,--,--,--,--,--,--,--,2024
Virgin Islands,--,--,--,--,--,--,--,--,--,--,--,2024
Virginia,--,"158,413","130,188",--,--,--,--,--,--,"1,811",--,2024
Washington,Washington reported a number for total dually eligible individuals in "BHO (PIHP and/or PAHP)" that was greater than "Total Dually Eligible Individuals" but did not provide an explanation for why this number was greater.,"134,352","7,137",--,0,--,"140,052",--,--,"1,538",--,2024
West Virginia,--,"88,124",0,--,--,--,--,--,"43,669",--,--,2024
Wisconsin,--,"64,052","21,372",--,--,"42,210",0,--,--,470,0,2024
Wyoming,--,"12,263",--,--,--,--,0,--,--,--,--,2024